Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							2	2,3-Epoxy-1,2,3,4-tetrahydroanthracene $$ 1a,2,9,9a-tetrahydroanthra[2,3-b]oxirene	83	196,089	2000189-48-6	C:\Database\W10N11_Full.L	189486
							3	Benzoic acid, 3,4-dimethoxy-, methyl ester $$ Veratric acid, methyl ester $$ 3,4-dimethoxy-benzoic acid, methyl ester $$ METHYL (3,4-DIMETHOXYPHENYL)-METHANOATE $$ methyl 3,4-dimethoxy-benzoate,3,4-dimethoxy-benzoic acid, methyl ester $$ AI3-20957	80	196,074	002150-38-1	C:\Database\W10N11_Full.L	186601
56	16,254	3374	9018487	400971	418514	0,032	1	2-methyl-propanoic acid, 2,2-dimethyl-1-(1-methylethyl)-1,3-propanediyl ester $$ 2-methyl-propanoic acid, 2,2-dimethyl-1-(1-methylethyl)-1,3-propanediyl ester **(Discontinued Registry Number: [53490-81-6]) $$ 2,2,4-TRIMETHYL-1,3-PENTANEDIOL ESTER	86	286,214	006846-50-0	C:\Database\W10N11_Full.L	473065
							2	diethyl 2-hydroxy-3-(tetrahydrofuran-2-yl)succinate	53	260,126	2000388-01-5	C:\Database\W10N11_Full.L	388015
							3	Fumaric acid, nonyl tetrahydrofurfuryl ester	53	326,209	2000592-83-9	C:\Database\W10N11_Full.L	592839
57	17,068	3545	224906	15200	32381	0,022	1	CYSTINE, TBS 2X	50	9999	000000-00-0	C:\Database\W10N11_Full.L	918752
							2	Benzoic acid, 2,6-bis(trimethylsiloxy)-, trimethylsilyl ester $$ Benzoic acid, 2,6-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester $$ TRIMETHYLSILYL 2,6-BIS[(TRIMETHYLSILYL)OXY]BENZOATE $$ 2,6-bis(trimethylsilyloxy)benzoic acid trimethylsilyl ester	38	370,145	003782-85-2	C:\Database\W10N11_Full.L	700053
							3	Noradrenaline tetraTMS $$ Norepinephrine tetra-TMS $$ N-(2-(3,4-Bis[(trimethylsilyl)oxy]phenyl)-2-[(trimethylsilyl)oxy]ethyl)(trimethyl)silanamine # $$ Norepinephrine, N,O,O,O-tetra-TMS	37	457,232	068595-65-3	C:\Database\W10N11_Full.L	829985
58	17,168	3566	380084	16875	34645	0,034	1	6-Fluoro-2-trifluoromethylbenzoic acid, tetradecyl ester	18	404,234	2000764-15-0	C:\Database\W10N11_Full.L	764150
							2	1-(4-ISOPROPYLPHENYL)-2-METHYLPROPYL ACETATE $$ ACETIC ACID, [1-(4-ISOPROPYLPHENYL)-2-METHYL]PROPYL ESTER	15	234,162	2000306-11-4	C:\Database\W10N11_Full.L	306114
							3	Allyl Cyclohexyl carbonate	15	184,11	2000154-00-7	C:\Database\W10N11_Full.L	154007
59	17,392	3613	2182412	137955	166480	0,026	1	2-Hexene, 3,5,5-trimethyl- (CAS) $$ (2E)-3,5,5-Trimethyl-2-hexene $$ (2E)-3,5,5-Trimethyl-2-hexene (computer-generated name) $$ (2E)-3,5,5-TRIMETHYL-2-HEXENE # $$ 3,5,5-TRIMETHYL-2-HEXENE	41	126,141	026456-76-8	C:\Database\W10N11_Full.L	34337
							2	Trichloroacetic acid, 2-ethylhexyl ester $$ 2-Ethylhexyl trichloroacetate #	38	274,029	016397-79-8	C:\Database\W10N11_Full.L	432995
							3	2-Hexene, 2,5,5-trimethyl- $$ 2,5,5-TRIMETHYL-2-HEXENE $$ 2,5,5-trimethylhex-2-ene	35	126,141	040467-04-7	C:\Database\W10N11_Full.L	34271
60	17,487	3633	514963	31628	58451	0,026	1	2,2-Dimethyl-3-octanone	58	156,151	005340-64-7	C:\Database\W10N11_Full.L	87166
							2	trans-3-Methyl-4-octanolide $$ 5-Butyl-4-methyldihydro-2(3H)-furanone, trans- $$ trans-Whiskey lactone $$ trans-Whiskeylactone $$ (E)-Whiskylactone $$ t-Whiskylactone $$ 2(3H)-Furanone, 5-butyldihydro-4-methyl-, trans-	43	156,115	039638-67-0	C:\Database\W10N11_Full.L	86814
							3	2(3H)-Furanone, 5-butyldihydro-4-methyl-, cis- $$ cis-.beta.-Methyl-.gamma.-Octalactone $$ cis-4-methyl-5-butyldihydro-2(3H)-furanone $$ cis-5-Butyl-4-methyldihydrofuran-2(3H)-one $$ (cis)-Oak-lactone $$ (Z)-Oaklactone $$ cis-Whiskey lactone	38	156,115	055013-32-6	C:\Database\W10N11_Full.L	86810
61	18,325	3809	644519	41321	58802	0,024	1	Benzoic acid, phenylmethyl ester $$ (phenylmethyl) benzoate $$ ANTISCABIOSUM $$ Ascabin $$ Ascabiol $$ Benylate $$ BENZOESAEUREBENZYLESTER $$ Benzoic acid, benzyl ester $$ BENZYL $$ Benzyl alcohol benzoic ester $$ Benzyl benzenecarboxylate	98	212,084	000120-51-4	C:\Database\W10N11_Full.L	237151
							2	Benzoic acid, 2-methylphenyl ester $$ Benzoic acid, o-tolyl ester $$ o-Tolyl benzoate $$ 2-Methylphenyl benzoate #	58	212,084	000617-02-7	C:\Database\W10N11_Full.L	237217
							3	Benzoic acid, 2-phenylhydrazide $$ Benzoic acid N2-phenylhydrazide $$ .beta.-(Benzoyl)phenylhydrazine $$ Benzoic acid, phenyl hydrazide $$ N-Benzoyl-N'-phenylhydrazine $$ 1-Benzoyl-2-phenylhydrazine $$ Benzoic acid phenylhydrazone $$ NSC 239394	49	212,095	000532-96-7	C:\Database\W10N11_Full.L	236415
62	18,459	3837	491540	28686	43387	0,027	1	Phthalic acid, di(4-methylhept-3-yl) ester	47	390,277	2000741-08-4	C:\Database\W10N11_Full.L	741084
							2	Thiazole, 4,5-dimethyl- $$ 4,5-DIMETHYL-1,3-THIAZOLE $$ 4,5-DIMETHYL-THIAZOLE $$ BRN 0105694 $$ EINECS 222-703-3 $$ FEMA NO. 3274	43	113,03	003581-91-7	C:\Database\W10N11_Full.L	20300
							3	Phosphonofluoridic acid, ethyl-, decyl ester $$ Decyl ethylphosphonofluoridoate #	38	252,165	333416-08-3	C:\Database\W10N11_Full.L	362464
63	19,097	3971	2596187	181805	199390	0,022	1	2-Pentadecanone, 6,10,14-trimethyl- $$ 2-PENTADECANON, 6,10,14-TRIMETHYL- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, (6R,10R)- $$ 2-PENTADECANONE, 6,10,14-TRIMETHYL-, [R-(R*,R*)]- $$ 6,10,14-Trimethyl-2-pentadecanone $$ hexahydro-farnesyl-acetone	91	268,277	000502-69-2	C:\Database\W10N11_Full.L	417091
							2	2-Nonanone $$ .beta.-NONANONE $$ 4-METHYL-2-(3,7,11-TRIMETHYL-DODECA-2,4,6,8,10-PENTAENYLIDENEAMINO)-PENT-4-ENENI $$ HEPTYL METHYL KETONE $$ KETONE, HEPTYL METHYL $$ METHYL HEPTYL KETONE $$ METHYL N-HEPTYL KETONE $$ N-C7H15COCH3 $$ NONAN-2-ONE	47	142,136	000821-55-6	C:\Database\W10N11_Full.L	59008
							3	Ethanone, 1-(3-ethylcyclobutyl)- $$ 1-(3-Ethylcyclobutyl)ethanone #	25	126,104	056335-71-8	C:\Database\W10N11_Full.L	33597
64	19,406	4036	606009	35726	48930	0,025	1	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester $$ benzene-1,2-dicarboxylic acid bis(2-methylpropyl) ester $$ benzene-1,2-dicarboxylic acid diisobutyl ester $$ bis(2-methyl-propyl) phthalate $$ bis(2-methylpropyl) benzene-1,2-dicarboxylate	78	278,152	000084-69-5	C:\Database\W10N11_Full.L	447332
							2	Phthalic acid, isobutyl undecyl ester	72	376,261	2000714-63-3	C:\Database\W10N11_Full.L	714633
							3	Phthalic acid, (2-chlorocyclohexyl)methyl isobutyl ester	72	352,144	2000660-12-6	C:\Database\W10N11_Full.L	660126
65	20,402	4245	246879	18194	31578	0,021	1	1,2-Benzenedicarboxylic acid, dibutyl ester $$ ARALDITE 502 $$ benzene-1,2-dicarboxylic acid dibutyl ester $$ BENZENE-O-DICARBOXYLIC ACID, DI-N- $$ BENZENE-O-DICARBOXYLIC ACID, DI-N-BUTYL ESTER $$ BENZENEDICARBOXYLIC ACID, DIBUTYL ESTER $$ BUFA	64	278,152	000084-74-2	C:\Database\W10N11_Full.L	447174
							2	Phthalic acid, isobutyl undecyl ester	59	376,261	2000714-63-3	C:\Database\W10N11_Full.L	714633
							3	Phthalic acid, butyl tridecyl ester	59	404,293	2000764-89-5	C:\Database\W10N11_Full.L	764895
